vaisalaTimeHours	elapsedTimeSec	"RH, %"	"T, ?C"	"pw, psi"
0.334722	1205.000000	51.24	25.29	0.24
0.336111	1210.000000	51.24	25.3	0.24
0.337500	1215.000001	51.23	25.29	0.24
0.338889	1220.000000	51.23	25.29	0.24
0.340278	1225.000000	51.23	25.29	0.24
0.341667	1230.000000	51.24	25.29	0.24
0.343056	1235.000000	51.24	25.29	0.24
0.344444	1240.000000	51.25	25.29	0.24
0.345833	1245.000000	51.25	25.29	0.24
0.347222	1250.000001	51.26	25.3	0.24
0.348611	1255.000000	51.26	25.29	0.24
0.350000	1260.000000	51.25	25.29	0.24
0.351389	1265.000000	51.24	25.29	0.24
0.352778	1270.000000	51.23	25.29	0.24
0.354167	1275.000000	51.23	25.29	0.24
0.355556	1280.000000	51.22	25.29	0.239
0.356944	1285.000001	51.21	25.29	0.24
0.358333	1290.000000	51.21	25.29	0.239
0.359722	1295.000000	51.2	25.29	0.239
0.361111	1300.000000	51.18	25.29	0.239
0.362500	1305.000000	51.17	25.29	0.239
0.363889	1310.000000	51.16	25.3	0.239
0.365278	1315.000000	51.16	25.29	0.239
0.366667	1320.000000	51.16	25.29	0.239
0.368056	1325.000000	51.15	25.29	0.239
0.369444	1330.000000	51.14	25.29	0.239
0.370833	1335.000000	51.13	25.29	0.239
0.372222	1340.000000	51.12	25.3	0.239
0.373611	1345.000000	51.11	25.29	0.239
0.375000	1350.000000	51.1	25.29	0.239
0.376389	1355.000000	51.1	25.3	0.239
0.377778	1360.000000	51.1	25.3	0.239
0.379167	1365.000000	51.1	25.3	0.239
0.380556	1370.000000	51.1	25.3	0.239
0.381944	1375.000000	51.09	25.3	0.239
0.383333	1380.000000	51.07	25.3	0.239
0.384722	1385.000000	51.06	25.29	0.239
0.386111	1390.000000	51.05	25.3	0.239
0.387500	1395.000000	51.04	25.3	0.239
0.388889	1400.000000	51.04	25.3	0.239
0.390278	1405.000000	51.04	25.3	0.239
0.391667	1410.000000	51.04	25.3	0.239
0.393056	1415.000000	51.03	25.3	0.239
0.394444	1420.000000	51.02	25.3	0.239
0.395833	1425.000000	51.02	25.3	0.239
0.397222	1430.000000	51	25.3	0.239
0.398611	1435.000000	50.98	25.3	0.239
0.400000	1440.000000	50.96	25.3	0.238
0.401389	1445.000000	50.95	25.3	0.238
0.402778	1450.000000	50.93	25.3	0.238
0.404167	1455.000000	50.92	25.3	0.238
0.405556	1460.000000	50.9	25.3	0.238
0.406944	1465.000000	50.91	25.3	0.238
0.408333	1470.000000	50.9	25.3	0.238
0.409722	1475.000000	50.89	25.3	0.238
0.411111	1480.000000	50.86	25.3	0.238
0.412500	1485.000000	50.9	25.3	0.238
0.413889	1490.000000	50.93	25.3	0.238
0.415278	1495.000000	50.95	25.31	0.238
0.416667	1500.000000	50.96	25.3	0.238
0.418056	1505.000000	50.96	25.3	0.238
0.419444	1510.000000	50.96	25.3	0.238
0.420833	1515.000000	50.95	25.3	0.238
0.422222	1520.000000	50.93	25.31	0.238
0.423611	1525.000000	50.91	25.31	0.238
0.425000	1530.000000	50.89	25.31	0.238
0.426389	1535.000000	50.88	25.31	0.238
0.427778	1540.000000	50.86	25.31	0.238
0.429167	1545.000000	50.86	25.3	0.238
0.430556	1550.000000	50.84	25.3	0.238
0.431944	1555.000000	50.83	25.3	0.238
0.433333	1560.000000	50.83	25.3	0.238
0.434722	1565.000000	50.81	25.3	0.238
0.436111	1570.000001	50.78	25.3	0.238
0.437500	1575.000000	50.76	25.3	0.238
0.438889	1580.000000	50.74	25.3	0.237
0.440278	1585.000000	50.73	25.3	0.237
0.441667	1590.000000	50.73	25.3	0.237
0.443056	1595.000000	50.72	25.3	0.237
0.444444	1600.000000	50.71	25.31	0.237
0.445833	1605.000001	50.7	25.3	0.237
0.447222	1610.000000	50.7	25.3	0.237
0.448611	1615.000000	50.69	25.3	0.237
0.450000	1620.000000	50.69	25.31	0.237
0.451389	1625.000000	50.68	25.31	0.237
0.452778	1630.000000	50.67	25.31	0.237
0.454167	1635.000000	50.66	25.31	0.237
0.455556	1640.000000	50.65	25.3	0.237
0.456944	1645.000000	50.63	25.3	0.237
0.458333	1650.000000	50.63	25.3	0.237
0.459722	1655.000000	50.61	25.3	0.237
0.461111	1660.000000	50.58	25.3	0.237
0.462500	1665.000000	50.57	25.3	0.237
0.463889	1670.000000	50.56	25.31	0.237
0.465278	1675.000000	50.56	25.31	0.237
0.466667	1680.000000	50.56	25.31	0.237
0.468056	1685.000000	50.55	25.31	0.237
0.469444	1690.000000	50.55	25.3	0.237
0.470833	1695.000000	50.53	25.3	0.236
0.472222	1700.000000	50.52	25.3	0.236
0.473611	1705.000000	50.51	25.3	0.236
0.475000	1710.000000	50.5	25.3	0.236
0.476389	1715.000000	50.49	25.3	0.236
0.477778	1720.000000	50.48	25.3	0.236
0.479167	1725.000000	50.47	25.3	0.236
0.480556	1730.000000	50.46	25.31	0.236
0.481944	1735.000000	50.46	25.31	0.236
0.483333	1740.000000	50.46	25.3	0.236
0.484722	1745.000000	50.46	25.31	0.236
0.486111	1750.000000	50.45	25.3	0.236
0.487500	1755.000000	50.44	25.3	0.236
0.488889	1760.000000	50.44	25.3	0.236
0.490278	1765.000000	50.43	25.3	0.236
0.491667	1770.000000	50.43	25.3	0.236
0.493056	1775.000000	50.44	25.3	0.236
0.494444	1780.000000	50.49	25.3	0.236
